name;rating;review_count;category;lat;lon;address;phone;category_source
Le Bonne Nouvelle;50;7;Bistros;4887053;2350453;24 boulevard de Bonne Nouvelle 75010 Paris France;+33 1 53 34 85 89;restaurants
Le Cosmos;50;5;Brasseries;488471;229361;10 rue Henri Duchêne 75015 Paris France;+33 9 65 10 52 98;restaurants
Roca;50;10;French;488848837;22950957;31 rue Guillaume Tell 75017 Paris France;+33 1 47 64 86 04;restaurants
Jium;50;7;Korean;4884869;229668;26 rue Tiphaine 75015 Paris France;+33 1 45 75 20 00;restaurants
DICE Caffè;50;7;Italian;4,88559E+13;2,36711E+14;11 rue du Pas de la Mule 75004 Paris France;+33 1 42 71 59 73;restaurants
Le Chanard;50;8;Wine Bars, Bistros, Cocktail Bars;488530299;236129;8 rue Saint-Paul 75004 Paris France;+33 1 48 04 75 89;restaurants
Teppanyaki Ginza Onodera;50;8;Japanese;4,8853E+14;2,33399E+14;6 rue des Ciseaux 75006 Paris France;+33 1 42 02 72 12;restaurants
La Bécane à Gaston;50;10;French;4887251;236112;24 rue Lucien Sampaix 75010 Paris France;+33 9 80 73 22 98;restaurants
Le Colisée;50;6;French, Dance Clubs;4887079;2308084;17 rue du Colisée 75008 Paris France;+33 6 09 78 53 34;restaurants
Lyoom Cantine;50;6;Mediterranean, Middle Eastern;4886645;23726666;48 rue Jean-Pierre Timbaud 75011 Paris France;+33 1 43 38 66 79;restaurants
Les Enfants du Marché;50;11;Seafood;4886296;236215;39 rue de Bretagne 75003 Paris France;+33 6 69 99 21 21;restaurants
Meating Corner;50;5;Burgers;48859229;2349769;8 rue des Lombards 75004 Paris France;+33 1 40 24 67 28;restaurants
Mokko;50;5;French;4889005;234228;3 rue Francoeur 75018 Paris France;+33 9 80 96 93 60;restaurants
Sequana;50;8;French;4885675;234154;72 quai des Orfèvres 75001 Paris France;+33 1 43 29 78 81;restaurants
Rarita;50;5;Italian;4,88616E+14;2,3423E+16;98-100 rue saint-honoré 75001 Paris France;+33 1 45 08 44 69;restaurants
Via Emilia;50;6;Pizza, Italian;4887929;233512;22 rue la Bruyère 75009 Paris France;+33 1 42 82 18 33;restaurants
La Cour Jardin;50;5;French;4,88665E+13;2,3042E+14;25 avenue Montaigne 75008 Paris France;+33 1 53 67 66 02;restaurants
Pizza e Mozza;50;6;Pizza, Salad;48860309;2348149;1 rue des Innocents 75001 Paris France;+33 1 47 03 90 14;restaurants
Le Cadoret;50;5;Bistros;4,88747E+14;2,38108E+14;1 rue Pradier 75019 Paris France;+33 1 53 21 92 13;restaurants
Tradi;50;15;Bistros;4886635;234158;4 rue du Mail 75002 Paris France;+33 1 44 82 07 83;restaurants
La Lingerie;50;5;Cafes, Bars;4883681;233454;82 avenue Denfert Rochereau 75014 Paris France;;restaurants
Superbières;50;7;Beer, Wine & Spirits, Sandwiches;488800507;23636501;203 rue du Faubourg Saint-Martin 75010 Paris France;+33 9 82 52 98 88;restaurants
Bulgogi;50;6;Korean;48870907;2376759;12 rue Louis Bonnet 75011 Paris France;;restaurants
Banoi;50;5;Vietnamese;4886416;236674;129 rue Amelot 75011 Paris France;+33 1 71 93 48 75;restaurants
Maison;50;10;French;4886374;237922;3 rue Saint-Hubert 75011 Paris France;+33 1 43 38 61 95;restaurants
Les Vendanges;50;5;French, Gastropubs;4,89011E+14;2,30526E+14;65 bd Jean Jaures 92110 Clichy France;;restaurants
Hakka Home;50;6;Chinese, Pan Asian;488522797;23900001;3 rue Voltaire 75011 Paris France;+33 9 84 01 51 44;restaurants
Le Stand;50;5;Vegan, Gluten-Free, Vegetarian;4,88628E+14;2,36222E+14;39 rue de Bretagne 75003 Paris France;+33 6 21 87 08 88;restaurants
L'Ours Blanc;50;7;French, Coffee & Tea;4886065;235434;8 rue Geoffroy l'Angevin 75004 Paris France;+33 1 40 27 93 67;restaurants
Karma;50;6;Himalayan/Nepalese;4,8847E+14;2,37246E+14;24 rue Traversière 75012 Paris France;+33 1 43 14 60 21;restaurants
L'Archeste;50;6;French;4886179;227811;79 rue de la Tour 75116 Paris France;+33 1 40 71 69 68;restaurants
Tamara;50;5;French;4886429;233605;15 rue de Richelieu 75001 Paris France;+33 1 71 60 91 30;restaurants
La Scarpetta;50;6;Italian;48880897;2323073;17 rue Berne 75008 Paris France;+33 1 45 22 09 50;restaurants
Le Four du Marais;50;7;Pizza;4,88576E+14;2,36434E+14;45 rue de Turenne 75003 Paris France;+33 9 87 71 03 06;restaurants
Fong Lai;50;6;Chinese;48865415;2369119;24 rue Jean Pierre Timbaud 75011 Paris France;+33 1 73 75 88 19;restaurants
C.Comme Chez Vous;50;7;Fast Food;488575299;230059;49 avenue la Bourdonnais 75007 Paris France;+33 1 45 56 96 50;restaurants
Flirt'The;50;5;Coffee & Tea, Cafes;488537336;23073545;3 avenue Duquesne 75007 Paris France;+33 1 47 05 51 05;restaurants
Yummy Noodles;50;7;Chinese;4883982;23327;17bis rue Campagne Première 75014 Paris France;+33 1 43 22 88 18;restaurants
Arzeh;50;6;Lebanese;488413506;230373;111 rue Cambronne 75015 Paris France;+33 9 84 05 08 20;restaurants
Caracole;50;5;French;4,89223E+14;2,25265E+14;2 rue des Anciens Combattants 92700 Colombes France;+33 1 47 84 25 80;restaurants
Jackpot;50;9;French, Beer Bar, Cocktail Bars;4886179;23573;10 rue des Haudriettes 75003 Paris France;+33 1 42 71 61 46;restaurants
Jeongané;50;9;Korean;4883189;230421;60 rue des Morillons 75015 Paris France;+33 9 73 56 35 88;restaurants
Chef Jean Yves;50;9;Restaurants;488676699;235526;74 rue du Vertbois 75011 Paris France;+33 6 80 64 18 84;restaurants
Kanna Tanna;50;7;Sri Lankan;488800049;23345288;40 rue Jean Baptiste Pigalle 75009 Paris France;+33 6 50 29 19 95;restaurants
Restaurant Montée;50;8;French;4884077;233068;9 rue Léopold Robert 75014 Paris France;+33 1 43 25 57 63;restaurants
Tu Fais ta Crêpe;50;6;Creperies;4885002;228913;33 rue Viala 75015 Paris France;;restaurants
Haha;50;5;Pan Asian;4888529;233525;6 rue Aristide Bruant 75018 Paris France;+33 1 42 23 70 83;restaurants
Pinzuti;50;5;Pizza, Corsican;4889187;233379;212 rue Marcadet 75018 Paris France;+33 1 42 51 70 55;restaurants
Makham Thai;50;7;Thai;4887304;2343904;11 rue de Montyon 75009 Paris France;+33 1 47 70 40 95;restaurants
ASPIC;50;34;French;4887918;234367;24 rue de la Tour d'Auvergne 75009 Paris France;+33 9 82 49 30 98;restaurants
Le Bistro V;50;29;Bistros, French;4883768;234622;56 bd de Port-Royal 75005 Paris France;+33 1 45 35 35 31;restaurants
Pontochoux;49;19;Japanese;48861319;2365104;18 rue du Pont aux Choux 75003 Paris France;+33 9 86 70 77 00;restaurants
Alliance;49;17;French;4884993;235329;5 rue de Poissy 75005 Paris France;+33 1 75 51 57 54;restaurants
Le Bizetro;49;16;French;4886676;229858;6 rue Georges Bizet 75116 Paris France;+33 1 47 23 85 41;restaurants
Mokonuts;49;43;Cafes, Bakeries;4,88508E+14;2,38147E+14;5 rue Saint-Bernard 75011 Paris France;+33 9 80 81 82 85;restaurants
Marche ou Crêpe;49;14;Creperies, Bars;4885262;240042;18 rue des Haies 75020 Paris France;+33 9 54 89 17 72;restaurants
Vietnam Food;49;14;Vietnamese;4,88571E+14;2,30119E+14;63 avenue de la Bourdonnais 75007 Paris France;+33 6 18 47 02 75;restaurants
Cook'n Saj;49;26;Lebanese;4885314;233197;5 rue Bernard Palissy 75006 Paris France;+33 1 45 49 01 56;restaurants
Eels;49;26;French;48873248;23499957;27 rue d'Hauteville 75010 Paris France;+33 1 42 28 80 20;restaurants
Vivre Opéra Garnier;49;13;French;4886922;233446;3 rue de la Michodière 75002 Paris France;+33 1 58 22 89 90;restaurants
Les Nouilles Fraiches;49;12;Chinese, Ramen;488475092;229966;32 rue Frémicourt 75015 Paris France;+33 9 83 05 27 89;restaurants
Jixiao's Buns;49;11;Pan Asian;4,88645E+14;2,35501E+14;91 rue Beaubourg 75003 Paris France;+33 1 56 06 90 18;restaurants
The Publisher;49;22;Gastropubs, Pubs, Burgers;4,88806E+14;2,31821E+14;33 rue de Constantinople 75008 Paris France;+33 9 84 01 74 47;restaurants
L'Initial;49;11;French;4,88507E+14;2,3504E+14;9 rue de Bievre 75005 Paris France;+33 1 42 01 84 22;restaurants
Nadia;49;11;Creperies, French, Wine Bars;488512795;23440643;94 bd Saint Germain 75005 Paris France;+33 1 46 33 22 90;restaurants
Signature Montmartre;49;21;Asian Fusion;4888443;234129;12 rue des Trois Frères 75018 Paris France;+33 1 84 25 30 00;restaurants
La Brick;49;20;Middle Eastern;4887559;238188;13 Rue Pradier buttes Chaumont 75019 Paris France;+33 1 75 50 95 32;restaurants
La Piazzetta;49;10;Italian, Breakfast & Brunch;48843792;23305;1 rue Bréa 75004 Paris France;+33 9 73 22 07 68;restaurants
B&M;49;10;Burgers;48884396;2339872;98 rue des Martyrs 75018 Paris France;+33 1 42 58 39 20;restaurants
Fuji Yaki;49;10;Japanese, Sushi Bars;4885431;237125;15 rue de la Roquette 75011 Paris France;+33 1 43 38 45 57;restaurants
Sapori di Parma;49;19;Italian;48856232;23021;56 avenue de la Bourdonnais 75007 Paris France;+33 1 45 56 19 38;restaurants
Mokonuts;49;43;Cafes, Bakeries;4,88508E+14;2,38147E+14;5 rue Saint-Bernard 75011 Paris France;+33 9 80 81 82 85;cafes
JOZI Brunch Panthéon;48;49;Coffee & Tea, Breakfast & Brunch;4884787;234706;3 rue Valette 75005 Paris France;+33 6 06 06 06 06;cafes
Fringe;48;12;Coffee & Tea;4886272;236476;106 rue de Turenne 75003 Paris France;;cafes
ALMA;48;12;Chimney Cakes, Cafes, Coffee & Tea;4,88577E+14;2,36777E+14;59 boulevard Beaumarchais 75003 Paris France;+33 9 66 84 57 34;cafes
Motors Coffee;48;21;Coffee & Tea, Coffee Roasteries;4885929;234696;7 rue des Halles 75001 Paris France;;cafes
A. Lacroix;48;122;Coffee & Tea, Patisserie/Cake Shop, Ice Cream & Frozen Yogurt;48851727;2349427;11 quai de Montebello 75005 Paris France;+33 1 74 64 14 86;cafes
Zia Paris;47;100;Cafes, Breakfast & Brunch;48854286;23071856;22 avenue de Tourville 75007 Paris France;+33 1 44 18 90 71;cafes
Matamata Coffee Bar;47;97;Coffee & Tea, Breakfast & Brunch, Sandwiches;4886611;234411;58 rue d'Argout 75002 Paris France;+33 1 71 39 44 58;cafes
Holybelly;47;321;Breakfast & Brunch, Coffee & Tea;48871022;2359819;5 rue Lucien Sampaix 75010 Paris France;+33 1 82 28 00 80;cafes
O Coffeeshop;47;88;Cafes, Breakfast & Brunch;4884911;2291145;23 rue de Lourmel 75015 Paris France;+33 1 45 79 69 89;cafes
Le Barbouquin;46;16;Bookstores, Cafes;48871052;23787811;1 rue Dénoyez 75020 Paris France;+33 9 84 32 13 21;cafes
Kozy;46;37;Coffee & Tea, Breakfast & Brunch, Sandwiches;4887158;23069799;48 rue de Ponthieu 75008 Paris France;;cafes
Cafe Les Rosiers;46;12;Pizza, Cafes, Coffee & Tea;488564612;23608376;2 rue des Rosiers 75004 Paris France;+33 1 48 87 94 09;cafes
Yellow Tucan;46;12;Cafes;488547283;2367573;20 rue des Tournelles 75004 Paris France;;cafes
Le Café Laurent;46;19;Bars, Jazz & Blues, Cafes;4885476;233948;Hôtel d'Aubusson 33 rue Dauphine 75006 Paris France;+33 1 43 29 03 33;cafes
The Hardware Société;46;227;Coffee & Tea, Breakfast & Brunch, Australian;4888688;23445299;10 rue Lamarck 75018 Paris France;+33 1 42 51 69 03;cafes
Le Pré;45;11;Cocktail Bars, Beer Bar, Cafes;4885301;233514;4 rue du Four 75006 Paris France;+33 1 40 46 93 22;cafes
Baguett's Café | Coffeeshop & Brunch Everyday;45;266;Cafes, Breakfast & Brunch;4886528;233657;33 rue de Richelieu 75001 Paris France;+33 9 54 83 04 86;cafes
Dose;45;74;Coffee & Tea;4884221;234983;73 rue Mouffetard 75005 Paris France;+33 1 43 36 65 03;cafes
Anticafé;45;42;Cafes;48864178;2336246;10 rue de Richelieu 75001 Paris France;+33 1 73 71 72 86;cafes
Illy Café;48;4;Cafes;48873181;2324155;37 rue de l'Arcade 75008 Paris France;+33 1 44 71 09 81;cafes
Numéro 220;50;3;Cafes;48844944;2342091;220 rue Saint-Jacques 75005 Paris France;+33 6 66 93 58 71;cafes
Un Grain Décalé;48;4;Coffee Roasteries, Cafes;4884461;233205;3 rue Vavin 75006 Paris France;+33 1 42 01 05 48;cafes
Shakespeare and Company;45;376;Bookstores, Cafes;4,88527E+13;2,34696E+13;37 rue de la Bûcherie 75005 Paris France;+33 1 43 25 40 93;cafes
Le Prince Racine;45;26;Cafes, Brasseries, French;48849857;2339913;22 rue Monsieur le Prince 75006 Paris France;+33 1 43 29 83 35;cafes
BREIZH Café Odéon | La Crêpe Autrement;45;108;Creperies, Cafes, Seafood;48851586;233885;1 rue de l'Odéon 75006 Paris France;+33 1 42 49 34 73;cafes
Saint Pearl;44;41;Coffee & Tea;48854947;2330499;38 rue des Saints-Pères 75007 Paris France;+33 1 71 50 16 73;cafes
Café Blanc;44;78;French, Coffee & Tea, Breakfast & Brunch;4,88627E+14;2339585;10 rue Croix des Petits Champs 75001 Paris France;+33 1 42 33 55 85;cafes
Café Madame;44;23;Breakfast & Brunch, Cafes;4,88484E+14;2,3318E+14;25 Rue de Vaugirard 75006 Paris France;+33 1 45 48 82 86;cafes
Le Temps des Cerises;44;394;French, Bistros, Cafes;48852569;2364184;31 rue de la Cerisaie 75004 Paris France;+33 1 42 72 08 63;cafes
Le Tiny Café;44;5;Bars, French, Cafes;4885518;237035;11 rue Daval 75011 Paris France;+33 6 22 10 82 09;cafes
Cocorico;44;60;Breakfast & Brunch, Cafes;4885908;2329159;5 rue du Bac 75007 Paris France;+33 1 40 26 82 03;cafes
Le Comptoir;44;135;Bistros, Cafes;488295898;233391;18 avenue René Coty 75014 Paris France;+33 1 43 22 61 91;cafes
13 au Jardin;44;13;Cafes;4884864;23394499;5 rue de Médicis 75006 Paris France;;cafes
Strada Café;44;78;Coffee & Tea, Breakfast & Brunch;48863188;2357273;94 rue du Temple 75003 Paris France;+33 1 44 61 09 28;cafes
Le Lithographe;43;6;Cafes;4883898;233043;234 boulevard Raspail 75014 Paris France;+33 1 77 13 26 08;cafes
Café Belloy;43;47;Cafes;48868988;2291886;37 avenue Kléber 75116 Paris France;+33 1 45 53 21 63;cafes
Kozy Bosquet;43;362;Coffee & Tea, Breakfast & Brunch, Sandwiches;4885542;230539;79 avenue Bosquet 75007 Paris France;+33 1 85 09 45 19;cafes
Le Café;43;69;Cafes;4886483;234588;62 rue Tiquetonne 75002 Paris France;+33 1 40 39 08 00;cafes
Fragments;43;66;Cafes;488579908;23673476;76 rue des Tournelles 75003 Paris France;;cafes
Le Café Alain Ducasse;50;2;Coffee & Tea;4884905;23257;47 rue du Cherche-Midi 75006 Paris France;+33 1 45 48 03 96;cafes
Carette;42;177;Patisserie/Cake Shop, Macarons, Coffee & Tea;48856336;2365566;25 place des Vosges 75003 Paris France;+33 1 48 87 94 07;cafes
Claus - La Table du Petit-Déjeuner;42;259;Breakfast & Brunch, Cafes;4886246;234053;14 rue Jean-Jacques Rousseau 75001 Paris France;+33 1 42 33 55 10;cafes
Le Parisien;42;23;Cafes;4,88679E+13;2,35478E+14;337 rue Saint-Martin 75003 Paris France;+33 1 42 72 11 33;cafes
L'Assignat;42;12;French, Cafes;488560717;23394757;7 rue Guénégaud 75006 Paris France;+33 1 43 54 87 68;cafes
Cafés Richard;42;6;Coffee & Tea, Bakeries, Patisserie/Cake Shop;48857271;23571;25 rue Vieille du Temple 75004 Paris France;;cafes
Verse Toujours;41;85;French, Brasseries, Cafes;4883843;23510399;3 ave des Gobelins 75005 Paris France;+33 1 43 31 06 98;cafes
The Hood Paris;41;47;Coffee & Tea, Breakfast & Brunch, Diners;4886735;237638;80 rue Jean-Pierre Timbaud 75011 Paris France;+33 1 43 57 20 50;cafes
Epicerie Breizh;41;481;Creperies, Cafes;48861039;2361757;109 rue Vieille du Temple 75003 Paris France;+33 1 42 72 13 77;cafes
Anticafé;41;49;Cafes, Breakfast & Brunch;4,88623E+14;2,3511E+14;79 rue Quincampoix 75003 Paris France;+33 1 73 73 10 74;cafes
Léandrés;50;5;Colombian, Cafes, Breakfast & Brunch;4887914;234801;78 rue de Maubeuge 75009 Paris France;+33 9 86 79 57 29;cafes
Terres de Café;48;15;Coffee & Tea;48885;232077;33 Rue Batignolles 75017 Paris France;+33 1 44 90 96 13;cafes
Nuage Café;48;19;Shared Office Spaces, Cafes;4884917;23475;14 rue des Carmes 75005 Paris France;+33 9 82 39 80 69;cafes
Les Entretiens;47;6;Bars, Cafes, French;4,88702E+14;2,35618E+14;33 rue du Faubourg Saint-Martin 75010 Paris France;+33 1 42 06 84 26;cafes
Aux Arts Etc...;46;62;Cafes, Art Galleries;4,88519E+14;2,349E+14;15 quai de Montebello 75005 Paris France;+33 1 56 81 68 77;cafes
Radiodays;46;42;Coffee & Tea, Breakfast & Brunch, Patisserie/Cake Shop;4887159;236728;15 rue Alibert 75010 Paris France;;cafes
Nuance Café;46;12;Cafes;4884508;235486;16 rue Linné 75005 Paris France;+33 6 66 05 86 06;cafes
Cuppa;46;31;Coffee & Tea, Breakfast & Brunch;4885939;232349;86 rue de l'Université 75007 Paris France;+33 9 67 22 23 21;cafes
Merci Jérôme!;45;30;Coffee & Tea, Bakeries;48849446;2298077;66 avenue de la Motte-Picquet 75015 Paris France;+33 7 81 86 16 01;cafes
Neighbours;45;24;Breakfast & Brunch, Coffee & Tea;4,88591E+14;2367372;89 boulevard Beaumarchais 75003 Paris France;+33 7 67 99 99 91;cafes
Cuillier;45;6;Coffee & Tea;48867594;2343618;85 rue Montmartre 75002 Paris France;;cafes
Le Peloton Café;45;66;Desserts, Coffee & Tea;4885551;235594;17 rue du Pont Louis Philippe 75004 Paris France;+33 6 24 58 02 15;cafes
Ob-la-Di;45;100;Breakfast & Brunch, Coffee & Tea;4886301;236403;54 rue de Saintonge 75003 Paris France;;cafes
Nina's;45;24;Coffee & Tea;488680169;2331111;29 rue Danielle Casanova 75001 Paris France;+33 1 55 04 80 55;cafes
Boot Café;45;57;Coffee & Tea;488611791;23653634;19 rue du Pont aux Choux 75003 Paris France;+33 1 73 70 14 57;cafes
Honor;45;31;Coffee & Tea;4886949;231968;54 rue du Faubourg Saint-Honoré 75008 Paris France;+33 7 82 52 93 63;cafes
Caffé Stern;44;16;Cafes, Italian;4,88709E+14;2,34109E+14;47 passage des Panoramas 75002 Paris France;+33 1 75 43 63 10;cafes
Mariage Frères;44;59;Coffee & Tea, Tea Rooms;4885439;234066;13 rue Grands Augustins 75006 Paris France;+33 1 40 51 82 50;cafes
Le Bichat;44;85;Cafes, Breakfast & Brunch;488697;236916;11 rue Bichat 75010 Paris France;+33 9 54 27 68 97;cafes
Fleurus Café;44;27;Breakfast & Brunch, Cafes;48868828;2291766;39 avenue Kléber 75016 Paris France;+33 1 47 04 61 40;cafes
Café Oberkampf;44;54;Cafes;4886469;237398;3 rue Neuve Popincourt 75011 Paris France;;cafes
Partisan Café Artisanal;44;14;Cafes;48864652;2353094;36 rue de Turbigo 75003 Paris France;+33 6 08 25 88 32;cafes
Peonies;43;23;Coffee & Tea, Florists;4887335;235465;81 rue du Faubourg Saint-Denis 75010 Paris France;;cafes
Muscovado;43;23;Cafes, Breakfast & Brunch;4885558;2,37082E+14;1 rue Sedaine 75011 Paris France;+33 1 77 16 31 32;cafes
Le Valois;43;26;French, Cafes, Brasseries;4,88775E+14;2,31025E+13;1 place Rio de Janeiro 75008 Paris France;+33 1 42 25 03 85;cafes
Pozzetto;43;163;Coffee & Tea, Ice Cream & Frozen Yogurt;48856676;2,35624E+14;39 rue du Roi de Sicile 75004 Paris France;+33 1 42 77 08 64;cafes
Strada Café;43;50;Coffee & Tea, Breakfast & Brunch;4884692;23512199;24 rue Monge 75005 Paris France;+33 9 72 45 12 87;cafes
Yann Couvreur;43;32;Patisserie/Cake Shop, Breakfast & Brunch, Coffee & Tea;4885738;235894;23bis rue des Rosiers 75004 Paris France;+33 6 05 97 63 01;cafes
Le Grand Cerf;43;25;Bars, French, Cafes;4886415;235113;79 bd Sebastopol 75002 Paris France;+33 1 42 33 06 80;cafes
Dammann Frères;43;19;Coffee & Tea;4885586;236456;15 place des Vosges 75004 Paris France;+33 1 44 54 04 88;cafes
Café Malongo;42;54;Cafes;48853487;2340656;50 rue Saint-André des Arts 75006 Paris France;+33 1 43 26 47 10;cafes
Ten Belles;42;147;Coffee & Tea;4887354;236477;10 rue de la Grange aux Belles 75010 Paris France;+33 1 42 40 90 78;cafes
Le Saint Placide;42;51;French, Breakfast & Brunch, Cafes;4884673;232685;127 rue de Rennes 75006 Paris France;+33 1 42 22 29 04;cafes
Sunday in Soho;41;31;Cafes, Breakfast & Brunch;4887028;234149;7 rue Saint-Marc 75002 Paris France;+33 6 04 52 86 29;cafes
Café Méricourt;41;31;Breakfast & Brunch, Coffee & Tea;48862494;2373695;22 rue de la Folie Méricourt 75011 Paris France;+33 1 43 38 94 04;cafes
La Fontaine de Belleville;41;18;Cafes, Bars, Sandwiches;4887577;236856;31 - 33 rue Juliette Dodu 75010 Paris France;+33 9 81 75 54 54;cafes
Shakespeare and Company Café;41;67;Cafes;4,88526E+14;2,34742E+14;37 rue de la Bûcherie 75005 Paris France;+33 1 43 25 95 95;cafes
Les Délices du Fournil;41;52;Patisserie/Cake Shop, Cafes, Creperies;4885002;23479;2 rue Carmes 75005 Paris France;+33 1 43 54 14 47;cafes
La Caféothèque;41;194;Cafes;4,88545E+14;2,35578E+14;52 rue de l'Hôtel de Ville 75004 Paris France;+33 1 53 01 83 84;cafes
Machon d'Henri Le;41;62;French, Cafes, Coffee & Tea;4885188;233453;8 Rue Guisarde 75006 Paris France;+33 1 43 29 08 70;cafes
Café Roussillon;41;101;Cafes;4885768;230593;186 rue de Grenelle 75007 Paris France;+33 1 45 51 47 53;cafes
Café Pouchkine;40;60;Cafes;4887362;232833;64 bd Haussman 75009 Paris France;+33 1 42 82 43 31;cafes
Café de la Poste;43;4;Cafes;4,88639E+14;2,36483E+14;124 rue de Turenne 75003 Paris France;+33 1 44 78 92 49;cafes
Café Cour;43;4;Cafes;488594704;235761;55-57 rue des Francs-Bourgeois 75004 Paris France;+33 1 44 61 65 02;cafes
Café du Coin;50;1;Cafes;48859021;23809707;9 rue Camille Desmoulins 75011 Paris France;+33 1 48 04 82 46;cafes
Grand Bay Café;40;6;Cafes, Cocktail Bars;4886006;234644;11 rue des Halles 75001 Paris France;+33 6 59 32 56 36;cafes
Le Choupinet;40;61;Brasseries, French, Cafes;488477332;2340714;58 boulevard Saint-Michel 75006 Paris France;+33 1 42 03 09 93;cafes
Café Louise;40;126;Cafes, Brasseries;4,88539E+13;2,33211E+13;155 bd Saint Germain 75006 Paris France;+33 1 42 22 88 98;cafes
L'Absinthe;40;27;Cafes;48865615;2357253;54 rue de Turbigo 75003 Paris France;+33 1 48 87 79 30;cafes
Télescope;39;105;Coffee & Tea;48866128;2336226;5 rue Villédo 75001 Paris France;+33 1 42 61 33 14;cafes
Arbane;49;19;Cocktail Bars, Dance Clubs;4885564;233835;10 rue Guénégaud 75006 Paris France;+33 1 44 07 32 43;bars
Hoppy Corner;49;24;Beer Bar;488677599;234744;34 rue des Petits Carreaux 75002 Paris France;+33 9 83 06 90 39;bars
Little Big Bear;48;13;Beer Bar, Pubs;4884957;234021;45 rue Monsieur le Prince 75006 Paris France;+33 1 43 26 45 69;bars
